Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Starch,"Alcohol, ethyl",Water,Caffeine,Theobromine,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Fluoride, F","Manganese, Mn","Selenium, Se","Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Betaine,Cholesterol,"Sugars, Total",cat_Baby Foods,cat_Baked Products,cat_Beef Products,cat_Beverages,cat_Breakfast Cereals,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fast Foods,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,"cat_Meals, Entrees, and Side Dishes",cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,cat_Snacks,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
5.88,13.24,41.18,3.5,0.0,0.0,35.5,0.0,0.0,1.2,0.0,2.12,0.0,0.0,0.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.34,11.27,53.42,3.08,0.0,0.0,27.86,0.0,0.0,1.4,28.0,1.93,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,3.7,79.8,7.2,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,1.8,46.0,1.6,0.0,0.0,42.6,0.0,0.0,0.0,180.0,1.4,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.58,9.22,41.05,2.81,35.51,0.0,40.34,0.0,0.0,2.2,279.0,6.04,19.0,388.0,126.0,621.0,0.48,0.04,0.0,0.215,9.5,401.0,2.0,0.0,0.62,0.0,2.0,0.0,63.0,0.07,4.03,1.27,0.03,0.0,0.0,0.0,0.0,0.499,0.665,6.675,0.24,0.972,63.0,2.86,0.0,10.5,0.0,15.0,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.42,9.49,48.39,3.13,39.7,0.0,31.57,0.0,0.0,2.6,299.0,6.59,22.0,444.0,138.0,710.0,0.48,0.037,0.0,0.223,10.3,438.0,2.0,0.0,0.68,0.0,2.0,0.0,66.0,0.09,4.62,1.51,0.01,0.0,0.0,0.0,0.0,0.563,0.648,7.942,0.217,1.11,68.0,1.62,28.1,12.5,0.0,13.0,4.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.92,9.4,44.16,3.04,38.55,0.0,36.48,0.0,0.0,2.4,125.0,6.53,20.0,410.0,110.0,663.0,0.58,0.063,0.0,0.235,10.1,429.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.08,4.21,1.33,0.0,0.0,0.0,0.0,0.0,0.576,0.695,6.73,0.24,1.105,64.0,2.44,0.0,10.8,0.0,16.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.71,9.91,45.41,3.02,38.63,0.0,34.95,0.0,0.0,2.4,197.0,5.81,25.0,410.0,148.0,682.0,0.45,0.038,0.0,0.154,12.8,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.07,4.52,1.18,0.0,0.0,0.0,0.0,0.0,0.544,0.655,7.785,0.325,1.016,67.0,2.18,0.0,8.1,0.0,16.0,5.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,24.83,64.3,1.39,35.87,0.0,4.37,0.0,0.0,1.9,29.0,2.6,23.0,117.0,113.0,471.0,1.25,0.223,0.0,1.287,2.6,0.0,0.0,0.0,1.85,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.213,3.22,0.178,0.076,65.0,0.0,17.7,21.8,38.8,0.0,18.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.08,22.42,64.48,2.03,34.67,0.0,4.99,8.0,100.0,2.7,32.0,4.3,40.0,120.0,187.0,503.0,2.1,0.77,0.0,1.833,2.5,0.0,0.0,0.0,1.79,0.0,0.0,0.0,12.0,0.17,11.79,3.49,0.04,0.0,0.0,0.0,0.0,0.336,0.265,3.073,0.168,0.043,72.0,0.0,16.4,18.2,21.3,0.0,26.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
